Schoolid	City	CHASEYEAR	SUMIntersection	NbrTrafSignals	NbrCrossingGuard	NbrSchools	ShapeAreakm	Highwaykm	MinorRoadkm	MajorRoadkm	roadcovkm	SumComkm	SumGouvkm	SumOpenAreakm	SumParkkm	SumReskm	SumIndkm	ISPH1116	OPDbPC60Less	Pop2016	Pop2011	STDMulti	SUMOneway	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"PEL82"	"PEL"	2018.0	65.0	3.0	3.0	1.0	1.129501731		11.29936021	3.966128892				0.014632515		1.114869218		351.7802908	0.0	5921.23206	4567.532765	126.5940516	2.125381554	0.0	6.38666447	0.0	6.38666447	920.6173936	1420.239851	981.6491036	1481.271561	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL84"	"PEL"	2018.0	68.0	4.0	6.0	1.0	1.919571539		16.31213353	3.468830701		3.47819E-6	0.917263042	0.046363887		0.930183484	0.025757856	614.724017	10.01607377	8404.72441	7811.511715	339.8944843	0.403659785	0.0	4.918080099	0.0	4.918080099	1324.516995	1884.342207	1414.481643	1974.306855	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL87"	"PEL"	2018.0	46.0	6.0	0.0	1.0	1.176080577		8.25215551	4.137025247		0.012442732	0.089349893	0.053566515	0.143172941	0.687246497	0.164321121	534.0041123	71.88017765	7793.648266	7744.632768	1423.663739	2.757428041	0.0	6.784872376	0.0	6.784872376	953.6595261	1385.800378	1030.444591	1462.585442	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL88"	"PEL"	2018.0	345.0	57.0	2.0	1.0	22.28311467	26.03579735	65.48639514	75.77672476	167.2989173	4.5771E-5	0.520314135	8.566353422	1.388394428	2.349290608	9.401168926	568.1441854	209.8655667	10878.12727	11028.62415	929.2122918	81.2129941	0.392881739	18.00995638	0.0	18.40283812	1374.8974	2007.682335	1477.114614	2109.899549	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR101"	"SUR"	2019.0	60.0	9.0	0.0	4.0	1.210052004		10.67585022	4.428728503			0.255959821	0.007022507	0.03317187	0.913795635	1.02138E-4	386.553119	40.00419929	5334.743328	5156.314007	867.2603099		0.0	6.11369E-4	2.652713891	2.65332526	704.0334021	1157.581035	766.7858862	1220.333519	0.0	0.339151624	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR102"	"SUR"	2019.0	203.0	2.0	0.0	2.0	3.647962254		34.33805828	8.181397216			0.065527854	0.503434735	0.02681176	3.050722561		495.0308515	116.0837664	7049.1483	7299.703118	342.3969339		2.198298858	1.546356912	0.442499329	4.187155099	890.5932966	1452.919817	925.0404426	1487.366963	0.0	0.797188425	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR105"	"SUR"	2019.0	113.0	2.0	0.0	1.0	6.388081709		20.16785696	8.007183835			0.089575205	4.459900798	0.070562142	1.62539024	0.00580901	106.4944226	38.97457234	3587.114585	2977.278753	211.5119596		0.0	1.36686488	4.945367156	6.312232037	676.0192684	934.3729415	717.3830111	975.7366842	0.0	0.322189061	2.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR106"	"SUR"	2019.0	82.0	6.0	0.0	2.0	2.174819185		12.46079799	8.06894703		0.091063206		0.132581778	0.21065857	1.707198007	0.033317702	795.7634264	56.83665846	8646.860472	7663.947981	1678.337228		0.0	0.500009064	4.521572204	5.021581268	1337.361974	1870.586536	1427.216183	1960.440744	0.0	0.184382716	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR107"	"SUR"	2019.0	168.0	4.0	0.0	2.0	10.1649086	1.809314354	34.74491188	13.92517391	50.47940013			4.498313275	0.161901308	4.393753689		452.7454397	116.0735978	5083.791163	5251.909594	201.012303		0.0	3.128785972	4.91661675	8.045402722	622.8328898	1036.976912	647.1853816	1061.329404	1.0	0.704656104	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR108"	"SUR"	2019.0	60.0	2.0	0.0	1.0	1.288089039		10.51468265	3.95154613				0.078956457	0.06929413	1.139838444		358.2661327	18.97205438	5215.296783	5388.971268	1011.774746		0.0	0.0	0.763563484	0.763563484	752.1582847	1086.274921	793.2674088	1127.384045	0.0	0.960416096	2.0	0.0	0.0	0.0	0.0	0.0	0.0
