Schoolid	Entropie500m	City	SUMIntersection	PropIntersectionKm	NbrSchools	SUMOnewaykm	PropOneWayKm	NbrCrossingGuard	PropCrossingGuardKm	NbrTrafSignals	Pop2016	Pop2011	Highwaykm	MajorRoadkm	MinorRoadkm	roadcovkm	ShapeAreakm	ISPH1116	OPDbPC60Less	STDMulti	SumComkm	SumGouvkm	SumOpenAreakm	SumParkkm	SumReskm	SumIndkm	CHASEYEAR	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"CAL80"	0.335743717533246	"CAL"	24.0	4.5	2.0					3.0	941.410223908311	909.66608584743	0.0	0.0	5.28988921186688	5.28988921186688	0.331451494879336	30.4918735199222	184.468205324991	94.3375776979637		0.025406052494331	0.008326607976287	0.026172052842345	0.271546779876304		2018.0	0.0	0.146475939417403	0.922946909696539	1.06942284911394	118.580741687015	155.808819577798	130.074340687739	167.302418578522	0.0		0.0	0.0	0.0	0.0	2.0	2.0	0.0
"CAL8"	0.249214468182045	"CAL"	44.0	7.9	1.0					1.0	730.203981144227	759.410364877619	0.0	0.0	5.54453090858005	5.54453090858005	0.347943714406297	15.5270840201707	134.926419911319	126.252101183376			0.001932888365576	0.058179526545684	0.287831294299302		2018.0	0.0	0.170463630224922	0.0	0.170463630224922	56.2619192406126	91.8246286225291	60.6239070077894	96.1866163897058	0.0	0.28746213279	0.0	0.0	0.0	0.0	2.0	1.0	0.0
"TOR913"	0.397225561917491	"TOR"	44.0	5.9	2.0	0.307	4.15	4.0	0.541	8.0	2158.2803927587	2250.08598972078	0.0	1.68879959005904	5.70882167368672	7.39762126374577	0.34189303944112	72.0835790051011	470.530359180975	260.380474701785		0.027234592367515	0.004291364522226	0.049446095415788	0.25918670411359	0.001734279409596	2018.0	0.0	0.0	0.768105725397599	0.768105725397599	266.171027496631	365.069651489675	296.336713226939	395.235337219984	0.0	1.2025525848	0.0	0.0	0.0	0.0	1.0	3.0	4.0
"CAL71"	0.398555609395116	"CAL"	23.0	5.3	1.0	0.122	2.84			3.0	251.838550649322	252.50618262988	0.0	0.121561134615797	4.17831897573647	4.29988011035227	0.336859129629144	6.25602217270723	1.88294810652015	0.937123303542535	0.061343340459806	0.001093283653786	0.001596339766734	0.130896409515111	0.14192975583306		2018.0	0.0	0.0	0.0	0.0	29.1993414936563	43.8028358225872	31.2852529834266	45.8887473123575	0.0		0.0	0.0	0.0	0.0	3.0	1.0	0.0
"TOR915"	0.346817215850258	"TOR"	38.0	6.6	2.0	1.46	25.3	3.0	0.52	7.0	3604.16748687038	3545.4545290518	0.0	1.94268604507214	3.82845125680149	5.77113730187364	0.334213576386769	482.052344757403	706.250577211668	942.255654854763	0.014989574243629	0.028475479711328	0.001900355172674	0.03339025941997	0.255457908505205		2018.0	0.0	0.0	0.0	0.0	338.775484123317	522.958164876956	353.911083393868	538.093764147507	0.0		0.0	0.0	0.0	0.0	3.0	0.0	0.0
"CAL70"	0.332476552176838	"CAL"	14.0	4.5	1.0					0.0	688.469198808409	684.552407115473	0.0	0.0	3.10144144689201	3.10144144689201	0.256906825674916	26.4407847979359	48.3439691769452	39.2358856827728			2.05748064882E-4	0.087178923961035	0.16952214948333		2018.0	0.0	0.032360583922971	0.0	0.032360583922971	82.0164883240809	119.096241436678	94.0112940235953	131.091047136192	0.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0
"CAL68"	0.452141801615479	"CAL"	34.0	7.1	1.0					1.0	1080.23355290307	1054.39231359928	0.0	0.0	4.81277574096071	4.81277574096071	0.309845401814779	28.83321371662	14.0900373039032	55.7357907891586		0.023694751202107	2.35492307848E-4	0.035064765977257	0.226197611610259	0.024652781818068	2018.0	0.0	0.0	0.0	0.0	119.784079133185	181.218715439989	131.92454870941	193.359185016214	0.0		0.0	0.0	0.0	0.0	1.0	1.0	0.0
"CAL62"	0.376828437521084	"CAL"	24.0	5.2	2.0	0.027	0.58			1.0	1131.34045697198	1121.69978722486	0.0	0.026511481088693	4.59528603957481	4.62179752066351	0.319728783660531	26.7399574536905	10.3931094339607	36.6017567810145		0.022180642355922	0.007145462764889	0.042063841706799	0.248338843783505		2018.0	0.0	0.0	0.0	0.0	126.976693524885	179.542630697208	143.406451555275	195.972388727597	0.0		0.0	0.0	0.0	0.0	4.0	1.0	0.0
"CAL61"	0.244232012680099	"CAL"	17.0	3.9	1.0					1.0	1056.02779226265	1055.97123965435	0.0	0.0	4.32456476093734	4.32456476093734	0.304225411076247	35.937819930249	16.0822823083052	37.5888762822622		0.018167169437829	4.8086104351E-4	0.019893460088987	0.265683919399904		2018.0	0.0	0.0	0.0	0.0	126.699649764658	192.748784748153	140.543986626081	206.593121609576	0.0		0.0	0.0	0.0	0.0	4.0	1.0	0.0
"CAL60"	0.380028827890131	"CAL"	43.0	8.19999999999999	2.0	0.189	3.62			1.0	1071.71800507427	1090.70457081029	0.0	0.189391154614126	5.02888637321314	5.21827752782727	0.282296550450859	55.4015075881425	0.110699338104391	11.5680108382049			0.014635473078964	0.062120675047215	0.204574160955376	9.66241832681E-4	2018.0	0.0	0.713440993977695	0.0	0.713440993977695	148.691748827681	191.336145956359	165.192216709387	207.836613838065	0.0		0.0	0.0	0.0	0.0	5.0	1.0	0.0
