Schoolid	Entropie1000m	City	SUMIntersection	NbrSchools	PropIntersectionKm	SUMOnewaykm	PropOneWayKm	NbrCrossingGuard	PropCrossingGuardKm	NbrTrafSignals	Pop2016	Pop2011	Highwaykm	MajorRoadkm	MinorRoadkm	roadcovkm	ShapeAreakm	ISPH1116	OPDbPC60Less	STDMulti	SumParkkm	SumReskm	SumComkm	SumIndkm	SumOpenAreakm	SumGouvkm	CHASEYEAR	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"MTL1663"	0.148136481	"MTL"	50.0	1.0	5.0	0.8	7.98	3.0	0.299	6.0	2398.94812	2354.80789	0.0	2.882656595	7.147424501	10.0300811	0.658677383	99.31275469	360.3520254	378.6197234	0.016581386	0.617006282	0.001786872		0.023298997	3.85795E-6	2018.0	0.0	0.0	0.542389979	0.542389979	333.4978191	483.0850383	357.2074504	506.7946696	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR581"	0.379742032	"TOR"	58.0	5.0	4.8	0.212	1.75	2.0	0.165	5.0	4568.021709	4544.016684	0.0	4.129060667	8.003039774	12.13210044	0.940111372	352.5059308	872.7755342	747.3685131	0.092332376	0.744065324	0.032517761		0.003267181	0.067928747	2018.0	0.0	0.0	0.0	0.0	521.6218789	713.5863873	570.4684389	762.4329473	0.0		0.0	0.0	0.0	0.0	2.0	0.0	0.0
"MTL1673"	0.2899751	"MTL"	50.0	3.0	5.2	0.23	2.41	2.0	0.21	2.0	3310.804762	3078.673154	0.0	3.154236257	6.377316629	9.531552886	0.719522651	385.942572	335.9097763	1074.035202	0.019184756	0.627466778	0.003796429		0.012864891	0.037770669	2018.0	1.007609094	0.0	2.044512822	3.052121916	405.0303821	550.9330696	434.0289946	579.9316821	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR587"	0.484704257	"TOR"	45.0	5.0	4.0	0.546	4.87	3.0	0.268	11.0	4657.237775	4649.494377	0.0	3.635701842	7.570676517	11.20637836	1.228426809	347.4914557	429.6361605	859.9766692	0.533796133	0.607667319			0.017133358	0.066771164	2018.0	0.14164355	1.260911565	0.0	1.402555115	640.2387714	989.8391391	706.9089666	1056.509334	0.0		0.0	0.0	0.0	0.0	2.0	5.0	0.0
"MTL4526"	0.653549223	"MTL"	118.0	3.0	5.0	13.708	58.02	2.0	0.085	21.0	10246.72544	9642.677963	0.069504346	9.725009292	13.83215265	23.62666629	1.339908318	1241.471582	1248.070609	4110.249957	0.066621684	0.701814772	0.384670683	0.056395506	0.078448411	0.051957264	2019.0	0.0	0.0	0.439117898	0.439117898	1576.465538	1988.684098	1743.293473	2155.512034	0.0	0.498496635	0.0	0.0	2.0	0.0	7.0	0.0	0.0
"MTL4520"	0.300070498	"MTL"	111.0	11.0	4.0	19.59	71.14	4.0	0.145	19.0	15742.82729	15416.91241	0.160005678	7.024021021	20.35230598	27.53633268	1.612248024	997.5796117	5197.715434	5719.470439	0.091239291	1.336962265			0.006953437	0.177093027	2018.0	0.0	0.0	5.195633271	5.195633271	2115.26782	2895.147891	2273.501139	3053.381209	0.0	11.0972244	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR698"	0.533293597	"TOR"	133.0	6.0	5.9	11.538	51.11	4.0	0.177	25.0	20535.00407	20763.55601	0.920368517	9.646808301	12.00966091	22.57683773	1.214989095	1633.31014	5313.575555	10085.91881	0.064586674	0.856455386	0.002018592	0.053092778	0.123377377	0.10334464	2018.0	0.218724279	1.109488975	0.0	1.328213255	1659.811425	2307.255183	1825.656093	2473.099852	0.0	3.91645463	0.0	0.0	0.0	0.0	3.0	4.0	0.0
"MTL4518"	0.325951931	"MTL"	108.0	6.0	3.7	19.534	67.16	6.0	0.206	14.0	18882.24056	18836.20258	1.031066622	5.736518309	22.31783464	29.08541958	1.716308444	1994.509098	4622.648408	7356.153946	0.109817568	1.432692751		0.028718498	0.016794579	0.128285063	2018.0	0.022394865	0.0	5.048830498	5.071225362	2711.734083	3696.54936	2905.749129	3890.564406	0.0	7.478417044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"MTL4506"	0.531031763	"MTL"	94.0	3.0	5.0	14.581	77.42	4.0	0.212	15.0	6409.603495	6234.865328	0.896142759	8.007428993	9.930683169	18.83425492	1.105887358	475.2106833	1461.823343	2641.136201	0.036707133	0.517949047		0.486042415	0.044529004	0.020659761	2019.0	0.0	0.0	0.021612512	0.021612512	849.5617125	1164.500357	951.0259617	1265.964607	0.0	0.134260735	0.0	10.0	3.0	0.0	3.0	0.0	0.0
"MTL4493"	0.408572746	"MTL"	103.0	6.0	5.4	3.924	20.53	2.0	0.105	4.0	8491.244694	8253.010524	0.0	4.979481113	14.13288455	19.11236566	1.066439747	841.5459957	1388.602418	2259.977554	0.065668434	0.840505957	0.008613126	0.101559142	0.015755363	0.034337733	2018.0	0.08984252	0.0	4.005460017	4.095302537	1268.592714	1778.536336	1366.336695	1876.280317	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
